b'Hungary';105;93030;9772756
b'Poland';318;312696;38383000
b'Lithuania';114;65300;2794329
b'Slovenia';102;20271;2095861
b'Italy';201;301340;60317116
b'Romania';84;238397;19405156
b'Ukraine';73;603628;41660982
